,real_index,vina_energy,vina_constraint,vina_total,coordinate,fnat,irms,lrms,dockq,cluster_ind,percent_near_native,ranked_data
41,17479,9.149543538408544,-26.09068922349732,-16.941145685088774,"(-35.54415, 6.2823234, 22.485096, 0.7584428, 0.21025938, -0.5221588, -0.32848987)",0.16,6.847,17.174,0.134,142,0.0,rank_41_index_0
42,13561,8.087676581869388,-17.854749380002467,-9.767072798133078,"(-32.37381, -0.14537185, 24.598267, 0.8249723, -0.06107743, -0.34461686, 0.44376752)",0.24,3.61,7.808,0.31,30,0.5227272727272727,rank_42_index_8
43,17485,6.694067845786652,-25.31838021110554,-18.62431236531889,"(-31.985804, 8.291713, 22.990755, 0.8757481, 0.1187562, -0.4658503, -0.044112068)",0.24,4.186,10.623,0.248,344,0.2857142857142857,rank_43_index_7
44,4288,8.158991181931356,-16.851439333173396,-8.69244815124204,"(-34.923256, 5.228818, 20.061346, -0.8498897, -0.12795933, 0.5111835, -0.0023249753)",0.36,3.274,8.601,0.343,77,0.43478260869565216,rank_44_index_8
45,14952,-26.80455312317612,-50.25263467030361,-77.05718779347973,"(-30.599075, 6.460471, 23.170448, 0.361947, -0.39298335, -0.078291714, 0.8416822)",0.2,9.744,24.364,0.111,92,0.0,rank_45_index_5
46,1808,-21.786223492306704,-43.18711358708677,-64.97333707939347,"(-33.87212, 16.355915, 15.180007, 0.64630795, -0.54756814, -0.14423028, 0.5115202)",0.28,7.406,24.324,0.143,495,0.0,rank_46_index_3
47,16913,3.5309313765011368,-39.50347156005592,-35.972540183554784,"(-30.866251, 1.185588, 20.997478, -0.5868216, 0.2887832, 0.1821946, -0.7342002)",0.16,7.551,16.417,0.136,38,0.0,rank_47_index_3
48,18431,-36.45447115091548,-64.7339302197596,-101.18840137067508,"(-30.504736, 6.759865, 21.883009, 0.85102004, -0.08446976, -0.28155622, 0.43515053)",0.52,3.078,7.639,0.422,275,0.5333333333333333,rank_48_index_5
49,7376,-11.990784845910763,-27.30227940814265,-39.29306425405341,"(-29.914392, 4.392971, 26.842827, 0.8818984, 0.15044862, -0.43108964, 0.11739742)",0.16,4.186,7.677,0.275,135,0.21428571428571427,rank_49_index_10
50,8606,9.407156319688584,-15.655326325004594,-6.248170005316011,"(-30.118856, 7.022615, 24.954882, -0.92810935, -0.104223944, 0.34753498, 0.08348593)",0.32,4.045,17.862,0.209,190,0.0,rank_50_index_8
51,4561,-3.973495037495976,-17.103415253337104,-21.07691029083308,"(-27.354855, 13.992281, 25.752405, 0.9549139, -0.036377363, -0.2614744, -0.13582067)",0.24,4.394,24.33,0.151,607,0.0,rank_51_index_0
52,11815,-3.939307410926304,-73.60842050671333,-77.54772791763963,"(-30.102596, 2.0251415, 26.245897, -0.2877521, -0.5320612, 0.080322444, 0.7922487)",0.04,13.079,36.21,0.035,258,0.0,rank_52_index_4
53,19596,-19.99422070744786,-25.95030609473018,-45.94452680217804,"(-32.074966, 2.0865035, 19.046072, -0.1073237, -0.5566447, 0.077101395, 0.820173)",0.04,12.692,31.707,0.04,226,0.0,rank_53_index_5
54,8549,-40.84885475022595,-26.82518483114086,-67.6740395813668,"(-34.46084, 5.362967, 17.568632, -0.8004766, 0.061971635, 0.38348627, -0.45643732)",0.32,2.87,7.003,0.377,165,0.6764705882352942,rank_54_index_6
55,18516,-35.7073572363734,-29.083580351322567,-64.79093758769596,"(-32.087868, 0.13579977, 16.978132, 0.3211167, -0.5548339, -0.24304764, 0.72799134)",0.12,10.718,32.21,0.068,28,0.0,rank_55_index_2
56,18432,-2.1491813496288934,-24.18618912630815,-26.335370475937044,"(-32.729202, 5.5788045, 22.179672, 0.8014418, -0.15423723, -0.32308745, 0.47907865)",0.36,3.69,8.747,0.329,134,0.20833333333333334,rank_56_index_6
57,9888,7.968690081755489,-12.008965400987927,-4.04027531923244,"(-33.687218, 1.0170534, 24.17148, -0.0020453555, -0.48446167, 0.20474221, 0.8505136)",0.0,13.119,24.705,0.04,371,0.0,rank_57_index_7
58,5538,2.6445610556899237,-13.01330236780013,-10.368741312110206,"(-21.406578, -3.7656894, 28.396044, 0.4052796, 0.37958455, -0.022428589, -0.83136094)",0.0,12.384,34.531,0.024,173,0.0,rank_58_index_499
59,15497,0.4212505530771082,-31.55800030431164,-31.13674975123453,"(-36.297646, 2.5871625, 12.830222, -0.27289844, 0.59954566, 0.19541132, -0.72655755)",0.08,10.624,31.242,0.056,51,0.0,rank_59_index_5
60,11965,-12.151696130002506,-38.29251199994905,-50.44420812995156,"(-28.56719, 12.845451, 23.494417, 0.9663126, -0.03625605, -0.25349206, -0.025833625)",0.28,3.672,22.324,0.183,565,0.0,rank_60_index_8
61,12769,9.243290679103245,-20.39180558252732,-11.148514903424076,"(-31.336935, 9.473334, 26.97996, 0.63266593, 0.2623556, -0.37853426, -0.62258756)",0.12,9.723,26.365,0.079,178,0.0,rank_61_index_0
