48	3.00
	0.000000	0.000000	0.000000
/home/yavuz/yavuz_proje/github_deneme/MEGA-PROTAC/test_inputs/5t35-DA/5t35-DA_target_input.pdb	-10.089000	5.100500	85.143997
/home/yavuz/yavuz_proje/github_deneme/MEGA-PROTAC/test_inputs/5t35-DA/5t35-DA_receptor_input.pdb	21.993999	4.123001	-2.373500
0.104720	2.237695	-0.271388	38	4	44	492.00
-3.036873	1.533648	1.644808	10	2	0	484.99
-1.675516	0.982609	-1.136920	8	4	0	483.98
-1.780236	1.983318	-0.247182	7	5	0	478.99
0.000000	1.748077	1.804354	10	1	45	447.99
-1.780236	1.957868	-0.490784	9	3	0	447.00
-0.942478	0.389851	-2.340031	8	4	0	443.97
-1.047198	1.612720	-3.080498	8	37	3	441.99
2.513274	2.019676	-1.980944	2	2	41	437.00
0.209440	1.748077	1.804354	8	4	0	435.99
-1.151917	1.581515	-0.419414	8	2	42	429.99
-0.523599	2.103223	1.521685	12	46	0	424.00
0.628319	0.942873	-1.607680	9	0	6	421.00
0.733038	1.017371	-0.979790	10	3	47	419.99
0.000000	2.237183	0.468799	44	7	43	419.01
0.523599	0.858261	-1.191729	42	3	43	418.99
-3.141593	1.074714	-2.805147	2	42	7	417.00
-1.256637	1.147363	-0.558448	1	4	43	413.99
-0.733038	1.285402	-2.882049	41	6	44	413.00
-2.617994	0.935636	-1.445855	12	43	46	411.00
-2.094395	1.174782	-2.538755	42	5	44	410.01
0.209440	2.244355	0.309899	13	0	1	409.97
2.617994	1.895117	2.121107	12	46	0	408.00
1.256637	1.049272	-1.376344	8	4	47	406.00
0.837758	2.226413	-2.064034	38	5	45	406.00
-2.199115	1.174782	-2.538755	42	5	44	405.00
0.314159	2.324376	-3.111006	38	6	47	404.99
2.303835	1.456736	1.323154	39	2	45	404.00
-2.408554	1.197745	-1.173705	12	46	2	404.00
-2.408554	1.234375	-2.421194	42	5	44	403.00
-0.314159	1.232870	-1.822773	8	38	47	402.01
2.932153	1.263772	-0.533073	4	4	40	401.99
-0.523599	0.605711	0.598454	3	5	40	400.00
2.303835	0.607708	-1.541026	39	6	44	400.00
-1.570796	0.715701	0.699906	39	3	45	399.00
2.932153	1.174782	-2.538755	4	40	5	398.99
-2.722714	0.470622	0.014002	39	6	45	398.01
0.418879	1.691693	-1.871572	13	4	1	397.00
-1.884956	1.707714	-0.787321	9	3	0	396.99
-2.617994	1.808822	-1.817375	42	46	45	396.00
-1.780236	2.721001	2.060097	37	3	44	395.00
-1.151917	1.303305	3.043152	8	37	3	395.00
-0.209440	0.849888	1.767901	45	4	41	394.00
0.104720	1.665496	2.397872	12	47	0	394.00
1.256637	1.612085	1.968802	9	38	5	392.00
0.209440	2.518454	-1.565852	38	2	44	392.00
2.199115	0.607708	-1.541026	39	6	44	390.00
-0.418879	1.194776	2.710455	1	4	40	389.99
-2.827433	1.125217	1.336294	39	0	46	389.99
2.094395	1.118930	0.045983	12	39	2	389.01
-2.513274	1.464952	2.329245	35	5	47	389.00
1.989675	1.206585	0.933648	40	1	44	388.00
-0.104720	1.880509	1.500204	11	2	3	387.00
1.151917	1.612085	1.968802	9	38	5	386.00
1.256637	1.391699	-0.288725	37	3	46	385.99
-1.256637	0.634455	-0.534790	44	9	46	385.00
-0.418879	1.735719	-3.092485	13	2	2	384.99
-2.513274	0.858261	-1.191729	12	44	45	384.00
-2.199115	1.322568	1.499415	2	4	42	383.99
-2.303835	2.019912	2.686612	13	46	46	381.98
1.047198	1.934585	-1.487979	39	7	45	381.01
-0.209440	2.157194	-0.792563	11	0	7	381.00
-2.513274	2.019912	2.686612	5	4	43	380.00
-1.884956	2.682152	0.245751	12	45	3	379.98
0.314159	1.459902	-1.145835	39	5	44	379.00
0.209440	2.014338	-1.127392	10	4	2	378.97
-0.209440	1.990381	1.586005	12	47	0	378.00
-0.523599	0.833613	-1.357492	9	38	4	377.00
0.418879	1.643925	1.034629	3	47	39	376.98
0.942478	2.043729	-1.557938	47	7	46	376.98
-1.989675	2.569130	-0.700837	9	2	6	376.00
